epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1145,1.51892,3.20041,3.23881,1.54565,0.3373,0.58148,0.45371,0.29396,0.33714,0.56481,0.46062,0.23654,1.35256,2.59681,10.5737,1.32031,0.000271496,0.000271496,0.000271496
2,190.081,1.42914,3.42339,2.31919,1.322,0.64088,0.51481,0.62277,0.36429,0.62199,0.46481,0.51105,0.24709,1.47706,3.55586,7.01285,1.26343,0.000543726,0.000543726,0.000543726
3,282.384,1.47324,3.62656,2.40462,1.37463,0.75283,0.26667,0.39924,0.1957,0.74057,0.25,0.40325,0.155,1.74131,5.86883,3.45057,1.546,0.000810458,0.000810458,0.000810458
4,382.694,1.4485,3.94359,2.40461,1.36248,0.44113,0.52239,0.46391,0.23604,0.31349,0.16296,0.16681,0.0895,2.02406,17.9917,3.10344,1.63547,0.00080826,0.00080826,0.00080826
5,480.716,1.68227,7.61876,2.45619,1.51785,0.44113,0.52239,0.46391,0.23604,0.31349,0.16296,0.16681,0.0895,2.02406,17.9917,3.10344,1.63547,0.000800013,0.000800013,0.000800013
6,579.765,1.76651,4.81485,2.51798,1.54375,0.35579,0.24259,0.23956,0.11019,0.39519,0.0537,0.0657,0.022,2.42305,15.0853,3.68788,2.05597,0.000791767,0.000791767,0.000791767
7,679.14,1.94258,3.69432,2.58665,1.6502,0.3482,0.40989,0.33618,0.14126,0.37934,0.35763,0.35276,0.16428,2.39383,6.97228,3.10368,1.93839,0.00078352,0.00078352,0.00078352
8,778.852,2.34525,3.59941,2.94802,1.93058,0.3482,0.40989,0.33618,0.14126,0.37934,0.35763,0.35276,0.16428,2.39383,6.97228,3.10368,1.93839,0.000775273,0.000775273,0.000775273
9,878.137,1.81926,3.39433,2.92644,1.64763,0.49969,0.20741,0.20532,0.12918,0.49969,0.20741,0.19776,0.09756,1.83138,4.88343,5.76264,1.69877,0.000767026,0.000767026,0.000767026
10,973.482,1.69692,3.2168,2.64569,1.5604,0.61224,0.40454,0.42952,0.23581,0.67045,0.35519,0.44177,0.18963,1.70739,3.36723,3.57784,1.549,0.00075878,0.00075878,0.00075878
11,1068.96,1.56944,3.05271,2.33348,1.50885,0.69965,0.71683,0.65204,0.4288,0.69965,0.71683,0.62437,0.35318,1.47047,2.91859,1.77384,1.38279,0.000750533,0.000750533,0.000750533
12,1164.86,1.58566,2.95977,2.15738,1.50773,0.69965,0.71683,0.65204,0.4288,0.69965,0.71683,0.62437,0.35318,1.47047,2.91859,1.77384,1.38279,0.000742286,0.000742286,0.000742286
13,1260.87,1.52333,2.95999,2.05951,1.46906,0.59442,0.62123,0.72464,0.47849,0.60091,0.60671,0.70886,0.38257,1.38235,2.6485,1.61777,1.30048,0.00073404,0.00073404,0.00073404
14,1364.92,1.51896,2.93315,2.03103,1.49266,0.93997,0.5243,0.70825,0.47139,0.96172,0.54089,0.72009,0.37177,1.44534,2.74916,1.68887,1.30926,0.000725793,0.000725793,0.000725793
15,1461.38,1.43579,2.69423,1.89901,1.3478,0.93997,0.5243,0.70825,0.47139,0.96172,0.54089,0.72009,0.37177,1.44534,2.74916,1.68887,1.30926,0.000717546,0.000717546,0.000717546
16,1550.64,1.44779,2.59297,1.76503,1.41052,0.81767,0.63356,0.72688,0.47528,0.83276,0.64864,0.72859,0.41633,1.38668,2.61997,1.65302,1.31304,0.000709299,0.000709299,0.000709299
17,1639.04,1.44379,2.47144,1.6009,1.43964,0.79068,0.77143,0.85302,0.53135,0.77789,0.75627,0.8265,0.47434,1.423,2.34165,1.2051,1.34169,0.000701053,0.000701053,0.000701053
18,1730.83,1.38689,2.42977,1.46141,1.38742,0.79068,0.77143,0.85302,0.53135,0.77789,0.75627,0.8265,0.47434,1.423,2.34165,1.2051,1.34169,0.000692806,0.000692806,0.000692806
19,1829.6,1.46105,2.48998,1.66451,1.4474,0.81483,0.76596,0.83095,0.55095,0.81483,0.76596,0.8195,0.50331,1.3485,2.29165,1.26427,1.31929,0.000684559,0.000684559,0.000684559
20,1923.07,1.39326,2.40039,1.48496,1.39104,0.6862,0.75382,0.79949,0.52488,0.71467,0.76723,0.80483,0.47364,1.38162,2.37709,1.22071,1.31564,0.000676313,0.000676313,0.000676313
21,2012.3,1.4356,2.29037,1.44074,1.42997,0.92408,0.58478,0.74778,0.46271,0.92408,0.58478,0.72855,0.45479,1.52774,2.55858,1.37196,1.306,0.000668066,0.000668066,0.000668066
